Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Percentage in Mathematics,Percentage in Communication skills,Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Suggested Job Role
84,82,81,78,61,43,77,64,83,7,8,2,7,6,yes,yes,Mobile App Developer
66,60,69,74,57,52,55,82,80,7,7,1,3,8,yes,yes,Business Analyst
87,64,58,64,86,73,88,69,62,7,6,0,6,7,yes,no,Network Engineer
63,64,48,74,52,49,58,78,83,8,8,0,3,8,yes,yes,Business Analyst
67,73,95,89,74,60,72,68,74,10,8,2,8,6,yes,yes,Mobile App Developer
63,67,52,74,56,37,65,74,85,7,8,0,4,8,yes,no,Business Analyst
79,76,83,88,75,53,62,76,78,7,7,4,9,6,yes,yes,Mobile App Developer
60,63,54,65,59,44,66,75,80,6,7,1,4,9,no,yes,Business Analyst
72,90,93,80,55,64,70,95,79,11,8,4,8,5,yes,no,Machine Learning Engineer
59,45,74,74,48,41,56,71,92,6,7,4,7,8,no,yes,UI/UX Designer
81,60,51,63,96,74,81,60,69,9,7,0,4,6,no,yes,Network Engineer
92,64,73,71,92,93,87,81,72,7,6,2,6,5,no,no,Network Engineer
67,74,66,78,73,50,73,77,73,7,8,3,7,6,yes,yes,Quality Assurance Engineer
94,77,79,79,92,75,86,88,75,11,8,4,8,6,yes,yes,Cybersecurity Analyst
61,61,61,74,61,44,69,55,83,8,7,1,5,8,no,no,UI/UX Designer
97,89,82,80,91,75,82,83,81,10,8,4,8,5,yes,yes,Cybersecurity Analyst
76,76,92,88,76,48,81,77,61,9,7,4,8,6,yes,yes,Software Engineer
85,90,85,78,57,50,68,89,70,9,8,4,8,7,no,yes,Machine Learning Engineer
83,77,83,72,82,44,88,73,66,10,8,0,7,6,yes,no,Database Administrator
84,88,68,80,69,42,87,79,70,8,8,2,6,5,yes,yes,Database Administrator
72,81,77,75,69,56,71,77,66,7,8,5,8,6,yes,yes,Web Developer
69,57,60,72,64,57,55,75,95,9,8,0,6,8,yes,yes,Project Manager
86,60,61,68,81,78,79,76,76,9,7,2,6,5,yes,yes,Network Engineer
77,92,86,88,69,54,76,94,71,10,9,6,8,6,no,yes,Machine Learning Engineer
79,76,75,77,65,39,76,60,67,8,6,4,8,6,yes,no,Web Developer
90,77,83,76,89,70,92,80,85,9,8,3,7,7,yes,no,Cloud Architect
84,69,80,86,65,59,73,58,81,6,8,2,9,7,yes,yes,Web Developer
84,75,79,74,83,61,93,79,71,8,8,2,7,4,yes,yes,Database Administrator
55,66,63,65,55,54,64,79,89,9,7,1,4,9,yes,yes,Business Analyst
75,78,66,81,69,49,79,65,75,6,8,3,7,7,yes,no,Quality Assurance Engineer
81,66,65,62,88,84,74,72,64,9,7,0,4,5,yes,yes,Network Engineer
64,55,55,80,56,46,74,77,83,7,8,0,4,9,yes,yes,Project Manager
63,52,56,67,45,38,68,54,79,6,7,4,7,8,no,no,UI/UX Designer
82,81,77,79,65,64,82,85,72,9,7,0,7,6,no,yes,Database Administrator
88,84,81,86,76,73,86,72,87,8,7,1,7,6,yes,yes,Systems Analyst
81,82,66,89,86,67,86,70,72,10,8,2,6,6,yes,yes,Systems Analyst
93,83,82,93,67,44,68,93,65,7,9,5,9,5,yes,yes,Software Engineer
84,73,81,80,62,46,69,82,70,7,8,2,7,5,yes,yes,Mobile App Developer
91,70,73,78,88,64,92,79,76,10,8,3,8,6,yes,yes,Cloud Architect
77,59,51,68,81,82,76,69,72,10,7,1,6,6,no,yes,Network Engineer
93,83,83,87,75,63,75,63,79,10,9,4,7,8,no,yes,DevOps Engineer
91,83,75,81,75,45,79,65,85,8,8,1,7,7,yes,no,DevOps Engineer
57,53,69,61,51,49,67,71,92,7,7,2,5,7,yes,yes,UI/UX Designer
66,54,63,61,63,51,60,66,84,7,6,4,6,8,yes,yes,UI/UX Designer
75,56,64,66,93,94,71,77,66,7,8,2,4,5,yes,yes,Network Engineer
52,60,57,66,48,35,50,74,92,8,8,1,4,8,yes,yes,Business Analyst
76,81,86,85,79,47,77,55,81,8,7,4,8,5,yes,yes,Web Developer
71,78,96,77,72,48,71,84,82,10,7,4,8,6,yes,yes,Software Engineer
93,88,93,76,72,65,78,93,78,8,9,7,9,6,yes,yes,Software Engineer
79,76,92,87,77,42,71,83,79,10,8,2,7,5,yes,yes,Software Engineer
93,78,77,72,90,81,85,79,81,7,8,2,8,6,yes,yes,Cybersecurity Analyst
90,79,84,84,69,58,81,90,73,6,8,2,9,4,yes,yes,Software Engineer
55,68,68,60,51,58,58,60,90,8,7,3,7,8,yes,no,UI/UX Designer
58,59,57,70,60,54,58,70,84,8,8,2,5,9,yes,yes,Project Manager
68,76,91,84,81,52,76,60,81,8,7,1,8,5,no,no,Web Developer
85,94,84,84,79,69,70,93,81,12,9,5,9,6,yes,yes,Machine Learning Engineer
57,66,55,79,51,58,58,61,83,9,7,3,6,8,yes,no,UI/UX Designer
91,86,81,77,82,66,85,82,83,9,7,1,7,7,no,no,Systems Analyst
54,47,58,76,60,50,69,52,80,6,6,4,7,7,no,yes,UI/UX Designer
65,65,89,76,81,36,63,63,77,7,7,4,7,7,yes,yes,Web Developer
56,56,70,74,58,51,57,79,89,10,8,0,6,8,yes,yes,Project Manager
82,81,83,87,79,40,72,83,75,11,9,5,8,5,yes,yes,Software Engineer
70,66,91,78,66,58,69,70,68,9,6,2,8,5,yes,yes,Web Developer
69,62,57,71,63,59,62,59,89,9,7,3,7,8,yes,yes,UI/UX Designer
62,65,48,66,56,47,66,81,85,7,7,1,5,9,no,yes,Business Analyst
65,71,75,76,84,59,66,70,80,8,6,4,7,7,yes,yes,Web Developer
67,53,73,63,45,43,64,71,82,8,6,2,7,8,yes,yes,UI/UX Designer
67,82,91,89,77,44,66,70,75,8,7,3,9,7,yes,yes,Mobile App Developer
73,75,74,88,75,47,60,76,72,7,8,2,7,6,yes,yes,Quality Assurance Engineer
86,76,83,82,92,84,88,88,81,10,8,3,8,5,no,no,Cybersecurity Analyst
64,70,84,77,78,58,57,66,80,9,7,1,7,7,yes,yes,Web Developer
96,86,70,67,94,67,80,83,72,11,8,3,8,7,yes,yes,Cybersecurity Analyst
88,77,85,75,95,63,70,85,83,9,9,4,7,7,yes,yes,Cybersecurity Analyst
83,81,81,83,70,58,80,87,64,10,8,1,7,6,yes,yes,Database Administrator
90,84,83,83,65,41,81,74,84,11,8,5,9,4,no,yes,Software Engineer
67,68,89,89,81,47,72,56,77,6,7,4,7,7,yes,yes,Web Developer
71,87,85,79,84,40,85,91,80,11,8,5,8,6,yes,yes,Software Engineer
74,81,68,78,68,58,88,74,77,8,7,2,7,4,no,yes,Database Administrator
78,92,93,90,68,59,84,96,65,10,9,4,8,6,no,yes,Machine Learning Engineer
61,67,61,72,67,54,68,68,92,9,8,0,6,9,yes,yes,Project Manager
57,58,71,72,62,52,62,57,86,6,6,4,5,7,no,yes,UI/UX Designer
73,80,94,78,60,60,62,93,83,7,9,3,8,5,yes,yes,Data Scientist
76,84,94,85,78,45,61,70,77,8,8,3,7,7,no,yes,Web Developer
55,48,55,74,59,35,69,52,79,6,7,1,5,8,yes,yes,UI/UX Designer
76,73,84,87,68,52,75,72,75,8,8,0,8,4,yes,yes,Database Administrator
90,78,82,86,94,69,91,75,73,11,8,1,7,8,no,yes,Cloud Architect
94,83,79,86,88,53,87,62,83,12,8,4,9,8,yes,yes,DevOps Engineer
57,62,45,65,57,43,50,84,86,9,8,1,4,8,yes,no,Business Analyst
67,82,83,88,61,51,70,81,75,8,7,3,7,6,no,yes,Quality Assurance Engineer
76,92,93,75,67,47,70,90,79,11,8,4,9,5,yes,yes,Machine Learning Engineer
86,97,86,83,66,47,79,94,65,10,9,3,8,5,yes,no,Machine Learning Engineer
